Starting...
2023-08-23 20:46:49.209 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:49.342 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:49.496 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:49.94 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.025 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.162 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.309 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.445 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.591 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.812 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.861 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:50.996 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:51.168 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:51.291 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:51.428 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:52.406 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:52.56 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:52.685 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:52.821 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:52.958 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.104 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.282 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.384 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.524 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.662 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:53.814 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.024 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.093 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.218 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.371 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.513 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.638 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.781 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:54.904 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.054 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.221 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.321 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.469 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.671 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.749 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:55.885 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.056 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.23 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.302 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.451 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.734 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:56.868 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.013 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.162 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.309 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.432 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.605 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.714 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:57.854 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.024 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.146 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.269 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.402 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.55 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.771 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.856 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:58.993 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.153 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.251 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.384 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.559 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.681 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.814 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:46:59.95 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.101 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.235 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.381 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.564 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.651 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.823 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:00.933 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.069 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.228 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.351 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.499 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.651 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:01.77 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.039 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.049 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.334 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.469 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.616 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.753 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:02.9 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.046 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.198 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.317 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.451 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.624 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.734 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:03.869 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.018 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.152 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.313 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.46 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.586 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:04.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:05.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:05.39 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:05.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:05.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:05.99 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:06.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:06.389 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:06.588 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:06.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:06.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:07.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:07.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:07.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:07.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:07.988 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:08.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:08.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:08.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:08.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:08.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:09.186 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:09.387 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:09.64 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:09.788 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:09.989 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:10.187 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:10.404 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:10.587 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:10.787 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:10.986 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:11.188 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:11.394 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:11.59 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:11.79 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:11.99 +0000 UTC | LIDAR | SUCC 
2023-08-23 20:47:12.188 +0000 UTC | LIDAR | SUCC 
